Date,Card_number,Name,Department,Category,Transaction,Amount,Barcode,Title,Author,homebranch,holdingbranch
2023-07-01 10:58:50,RZCK2D,QFI8F6,UNDER GRADUATION(UG),UG,Check out,25.0000,BB2963,MECHANICS OF MATERIALS,DAS J B K,RIT,RIT
2023-07-01 10:58:57,W6SAB3,ON8HXZ,UNDER GRADUATION(UG),UG,Other,-26.0000,,,,,
2023-07-01 10:59:21,BLUGLM,VKO7ON,CSE,UG,Check out,,77713,ELEMENTS OF MECHANICAL ENGINEERING,PRAVEEN,RIT,RIT
2023-07-01 10:59:56,W0PFTO,1ED4V2,AIML,UG,Check out,,99327,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 11:02:56,AKUCYH,97AUJB,BT,ST,Renew,-,98121,Wiley's GATE Biotechnology Chapter-Wise Solved Papers (2000-2021,Wiley Editoria,RIT,RIT
2023-07-01 11:03:02,AKUCYH,97AUJB,BT,ST,Renew,-,81662,SPECTROSCOPY,"PAVIA, DONALD L",RIT,RIT
2023-07-01 11:03:06,AOE43Z,OSWNGY,CSE_CY,UG,Check out,,92219,BASIC ELECTRICAL ENGINEERING,KULSHRESHTHA D,RIT,RIT
2023-07-01 11:04:18,638RDC,HOSL89,ME,UG,Check out,,98861,ROBOTICS,APPUU KUTTAN K K,RIT,RIT
2023-07-01 11:04:28,SIR0IK,9XOT0L,ME,UG,Renew,-,73732,APPLIED THERMODYNAMICS,VENKANNA B K,RIT,RIT
2023-07-01 11:04:34,SIR0IK,9XOT0L,ME,UG,Renew,-,48772,MANUFACTURING PROCESS,RAMACHANDRA H D,RIT,RIT
2023-07-01 11:05:27,5OLXKE,Q9ZT45,BT,ST,Check in,-,49840,ESSENTIALS OF FOOD AND NUTRITION VOL-II,SWAMINATHAN M,RIT,RIT
2023-07-01 11:09:16,PKJ2E5,G8EQA4,MCA,PG,Check out,,MC4682,"FULL STACK JAVA DEVELOPMENT WITH SPRING MVC, HIBERNATE, JQUERY, AND BOOTSTRAP",RAMGIR,RIT,RIT
2023-07-01 11:09:33,PKJ2E5,G8EQA4,MCA,PG,Check out,,67005,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI, RAMEZ",RIT,RIT
2023-07-01 11:09:46,PKJ2E5,G8EQA4,MCA,PG,Check out,,MC392,INTRODUCTION TO ALGORITHMS,"CORMEN , THOMAS",RIT,RIT
2023-07-01 11:11:08,W8ODTU,WQZ96G,MCA,PG,Check out,,MC4049,COMPUTER NETWORKING: A TOP-DOWN APPROACH FEATURING THE INTERNET,KUROSE J F,RIT,RIT
2023-07-01 11:11:08,W8ODTU,WQZ96G,MCA,PG,Check out,,MC4049,COMPUTER NETWORKING: A TOP-DOWN APPROACH FEATURING THE INTERNET,KUROSE J F,RIT,RIT
2023-07-01 11:11:34,W8ODTU,WQZ96G,MCA,PG,Check out,,MC3624,JAVA THE COMPLETE REFERENCE,SCHTLDT HERBERT,RIT,RIT
2023-07-01 11:18:36,98OPWH,VMQPS1,BT,ST,Check in,-,44860,PRINCIPLES OF GENE MANIPULATION,"PRIMROSE, SANDY",RIT,RIT
2023-07-01 11:25:13,CKFQC9,EFOU8G,UNDER GRADUATION(UG),ST,Check in,-,68117,BASIC STRUCTURAL ANALYSIS,"MUTHU, K U",RIT,RIT
2023-07-01 11:43:20,7N1CRY,A0B5Z9,UNDER GRADUATION(UG),UG,Check in,-,39664,HIGH VOLTAGE ENGINEERING,"WADHWA, C L",RIT,RIT
2023-07-01 11:43:49,7N1CRY,A0B5Z9,UNDER GRADUATION(UG),UG,Check in,-,91067,FUNDAMENTALS OF ELECTRICAL DRIVES,G.K DUBEY,RIT,RIT
2023-07-01 11:45:32,7N1CRY,A0B5Z9,UNDER GRADUATION(UG),UG,Other,-378.0000,,,,,
2023-07-01 11:49:47,QPCBUI,UL8WMG,UNDER GRADUATION(UG),UG,Check out,25.0000,BB3326,TURBO MACHIMES FOR V SEM BE MECHANICAL,HEGDE R K,RIT,RIT
2023-07-01 11:50:04,QPCBUI,UL8WMG,UNDER GRADUATION(UG),UG,Check out,25.0000,BB2955,MECHANICS OF MATERIALS,DAS J B K,RIT,RIT
2023-07-01 11:50:17,DR9LRW,HWR5HN,UNDER GRADUATION(UG),UG,Check in,-,70843,BASIC ELECTRICAL ENGINEERING,KULSHRESHTHA D,RIT,RIT
2023-07-01 11:59:48,4XSRAQ,V4SRHP,IEM,UG,Check in,-,66513,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2023-07-01 12:00:11,4XSRAQ,V4SRHP,IEM,UG,Check out,,66513,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2023-07-01 12:03:29,084SXL,BZG0W9,UNDER GRADUATION(UG),UG,Check out,,99585,HOW TO THINK LIKE A COMPUTER SCIENTIST LEARNIG WITH PHTHON,"DOWNEY ALLEN, ELKNER JEFFREY, MEYERS, CHRIS",RIT,RIT
2023-07-01 12:07:59,VJT4ZM,WJRGJ5,CSE,UG,Check in,-,99827,DATA STRUSTURES USING C & C++,"LANGSAM, YEDIDYAH, AUGENSTEIN, MOSHE J, TENENBAUM AARDN",RIT,RIT
2023-07-01 12:08:39,VJT4ZM,WJRGJ5,CSE,UG,Check out,,99827,DATA STRUSTURES USING C & C++,"LANGSAM, YEDIDYAH, AUGENSTEIN, MOSHE J, TENENBAUM AARDN",RIT,RIT
2023-07-01 12:09:35,S43INF,W4KX6S,CSE,UG,Renew,-,76444,DATA STRUCTURES ALGORITHMS AND APPLICATIONS IN C++,SAHNI SARTAJ,RIT,RIT
2023-07-01 12:11:13,DR9LRW,HWR5HN,UNDER GRADUATION(UG),UG,Other,-483.0000,,,,,
2023-07-01 12:15:03,DHX9D7,7T37PO,UNDER GRADUATION(UG),ST,Check out,,65908,"HIGHWAY MATERIALS, AND PAVEMENT TESTING",KHANNA S K,RIT,RIT
2023-07-01 12:15:06,DHX9D7,7T37PO,UNDER GRADUATION(UG),ST,Check out,,95539,STRUCTURAL ANALYSIS,HIBBELER R C,RIT,RIT
2023-07-01 12:15:28,GCN524,7UNS6M,UNDER GRADUATION(UG),ST,Check out,,65916,"HIGHWAY MATERIALS, AND PAVEMENT TESTING",KHANNA S K,RIT,RIT
2023-07-01 12:15:29,NE8PGR,D6PEMY,BT,UG,Check out,,85449,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA M N",RIT,RIT
2023-07-01 12:15:59,QPCBUI,UL8WMG,UNDER GRADUATION(UG),UG,Check out,,49107,DESIGN OF MACHINE ELEMENTS-I ( MECHANICAL ENGINEERING DESIGN-I),ANNAIAH M H,RIT,RIT
2023-07-01 12:18:24,9HLQD8,E6I1E0,UNDER GRADUATION(UG),UG,Check in,-,DL301419,AIR POLLUTION,RAO M N,RIT,RIT
2023-07-01 12:18:34,9HLQD8,E6I1E0,UNDER GRADUATION(UG),UG,Check in,-,78220,INTEGRATED SOLID WASTE MANAGEMENT ENGINEERING PRINCIPLES AND MANAGEMENT ISSUES,TCHOBANOGLOUS,RIT,RIT
2023-07-01 12:18:40,9HLQD8,E6I1E0,UNDER GRADUATION(UG),UG,Check in,-,96682,ENVIRONMENTAL IMPACT ASSESSMENT METHODOLOGIES,ANJANEYULU YERRAMILLI,RIT,RIT
2023-07-01 12:20:12,9HLQD8,E6I1E0,UNDER GRADUATION(UG),UG,Other,-123.0000,,,,,
2023-07-01 12:21:40,FYF37G,4EMMGD,UNDER GRADUATION(UG),UG,Check in,-,68404,ENVIRONMENTAL IMPACT ASSESSMENT METHODOLOGIES,"ANJANEYULU Y, MANICKAM, VALLI",RIT,RIT
2023-07-01 12:21:46,FYF37G,4EMMGD,UNDER GRADUATION(UG),UG,Check in,-,78222,INTEGRATED SOLID WASTE MANAGEMENT ENGINEERING PRINCIPLES AND MANAGEMENT ISSUES,TCHOBANOGLOUS,RIT,RIT
2023-07-01 12:21:52,FYF37G,4EMMGD,UNDER GRADUATION(UG),UG,Check in,-,32126,AIR POLLUTION,"RAO, M N",RIT,RIT
2023-07-01 12:24:23,FYF37G,4EMMGD,UNDER GRADUATION(UG),UG,Other,-123.0000,,,,,
2023-07-01 12:26:20,CJXMPH,FRG1YC,UNDER GRADUATION(UG),ST,Check in,-,70476,WASTE WATER ENGINEERING,"PUNMIA, B.C",RIT,RIT
2023-07-01 12:26:21,USWQ0N,TBUW7Q,UNDER GRADUATION(UG),ST,Check out,,70476,WASTE WATER ENGINEERING,"PUNMIA, B.C",RIT,RIT
2023-07-01 12:26:30,USWQ0N,TBUW7Q,UNDER GRADUATION(UG),ST,Renew,-,89801,HIGHWAY MATERIALS AND PAVEMENT TESTING,KHANNA S K,RIT,RIT
2023-07-01 12:26:47,1NA1RH,CZXNF8,UNDER GRADUATION(UG),ST,Check out,,94319,WASTEWATER ENGINEERING ENVIRONMENTAL ENGINEERING-II,PUNMIA B C,RIT,RIT
2023-07-01 12:28:44,M1DTGB,GJ79NU,UNDER GRADUATION(UG),UG,Check in,-,99307,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 12:28:59,M1DTGB,GJ79NU,UNDER GRADUATION(UG),UG,Check in,-,60140,COMPUTER AIDED ENGINEERING DRAWING,ANNAIAH M H,RIT,RIT
2023-07-01 12:30:13,M1DTGB,GJ79NU,UNDER GRADUATION(UG),UG,Other,-27.0000,,,,,
2023-07-01 12:31:22,K4UKT2,YMMLYC,BT,UG,Check out,,99321,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 12:31:44,44KJLX,8JUZA3,BT,UG,Check out,,85434,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA M N",RIT,RIT
2023-07-01 12:31:52,44KJLX,8JUZA3,BT,UG,Check out,,99322,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 12:34:16,9HV8EH,7IQ12A,AIML,UG,Check out,,99309,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 12:35:13,61H9PX,5NCR6Y,UNDER GRADUATION(UG),UG,Check out,,99308,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 12:38:03,ULGVNK,I9NG6E,AIML,UG,Check out,,70351,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA. M. N",RIT,RIT
2023-07-01 12:38:18,FYF37G,4EMMGD,UNDER GRADUATION(UG),UG,Check in,-,54743,ELECTRONIC COMMUNICATION SYSTEMS,"KENNEDY, GEORGE",RIT,RIT
2023-07-01 12:38:20,FYF37G,4EMMGD,UNDER GRADUATION(UG),UG,Check in,-,70806,ANALOG AND DIGITAL COMMUNICATION,SINGAL T L,RIT,RIT
2023-07-01 12:38:54,9UUG33,GH52KE,UNDER GRADUATION(UG),UG,Check out,,99353,CYBER SECURITY:UNDERSTANDING CYBER CRIMES COMPUTER FORENSIES,"GODBOLE,NINA BERAPURE SUNIT",RIT,RIT
2023-07-01 12:39:04,9UUG33,GH52KE,UNDER GRADUATION(UG),UG,Check out,,93257,ELEMENTS OF CIVIL ENGINEERING AND MECHANICS,SAWANT R K,RIT,RIT
2023-07-01 12:39:31,9UUG33,GH52KE,UNDER GRADUATION(UG),UG,Check out,,97703,Design thinking in the classroom :,"Lee, David.",RIT,RIT
2023-07-01 12:42:12,9UUG33,GH52KE,UNDER GRADUATION(UG),UG,Other,-24.0000,,,,,
2023-07-01 12:44:40,61H9PX,5NCR6Y,UNDER GRADUATION(UG),UG,Other,-3.0000,,,,,
2023-07-01 12:46:13,5HV6XC,WRF3EL,UNDER GRADUATION(UG),UG,Check out,,77764,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-01 12:46:19,5HV6XC,WRF3EL,UNDER GRADUATION(UG),UG,Check out,,95649,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-07-01 12:46:41,956X68,ASMRCI,UNDER GRADUATION(UG),UG,Check in,-,93014,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA K R,RIT,RIT
2023-07-01 12:47:19,956X68,ASMRCI,UNDER GRADUATION(UG),UG,Check out,,95635,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-07-01 12:47:25,956X68,ASMRCI,UNDER GRADUATION(UG),UG,Check out,,77769,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-01 12:47:47,KZS615,LNCGJV,UNDER GRADUATION(UG),UG,Check out,,77760,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-01 12:47:52,KZS615,LNCGJV,UNDER GRADUATION(UG),UG,Check out,,95648,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-07-01 12:52:44,WY5BRR,EX6GPZ,UNDER GRADUATION(UG),ST,Renew,-,86357,BASIC AND APPLIED THERMODYNAMICS,PK NAG,RIT,RIT
2023-07-01 12:53:52,6JSVIU,AXFUD5,MBA,PG,Check out,,MB6479,BUSINESS LAW INCLUDING COMPANY LAW,GULSHAN S S,RIT,RIT
2023-07-01 13:10:22,WH1IT6,C5X4SJ,ME,UG,Check in,-,98466,ENGINEERING MATHEMATICS,SRIMANTA PAL & SUBODH C BHUNIA,RIT,RIT
2023-07-01 13:21:35,PFJO6X,BOVV4C,CHEM,UG,Check out,,96555,ELEMENTS OF MECHANICAL ENGINEERING,PATIL H G,RIT,RIT
2023-07-01 13:21:47,PFJO6X,BOVV4C,CHEM,UG,Check out,-,DB5752,ELEMENTS OF CIVIL ENGINEERING AND MECHANICS,BHAVIKKATTI.S.S,RIT,RIT
2023-07-01 15:16:23,G6PL4B,ZW5JK6,EIE,ST,Check in,-,DB5397,COYOTE WAITS,TONY HILLERMAN,RIT,RIT
2023-07-01 15:17:06,G6PL4B,ZW5JK6,EIE,ST,Renew,-,56700,THEORIES OF PERSONALITY,"SCHULTZ, DUANE P",RIT,RIT
2023-07-01 17:17:30,RJNVWY,JQ5WW3,ME,UG,Check out,,69427,COMPLETE REFERENCE JAVA,"SCHILDT, HERBERT",RIT,RIT
2023-07-01 18:50:45,P3AVRO,HJ5MOG,UNDER GRADUATION(UG),UG,Check out,,99471,ARTIFICIAL INTELLIGENCE - A MODERN APPROACH,"STUART RUSSEL , PETER NORVIG",RIT,RIT
2023-07-02 13:32:36,KB5MQY,2G5V89,UNDER GRADUATION(UG),ST,Renew,-,76431,COMPUTER ALGORITHMS,HOROWITZ,RIT,RIT
2023-07-02 13:32:44,KB5MQY,2G5V89,UNDER GRADUATION(UG),ST,Renew,-,64932,DATA COMMUNICATIONS AND NETWORKING,"FOROUZAN, BEHROUZ A",RIT,RIT
2023-07-02 14:33:43,EW4I23,KF1EMC,UNDER GRADUATION(UG),ST,Renew,-,69440,OPERATING SYSTEM CONCEPTS,"SILBERSCHATZ, ABRAHAM",RIT,RIT
2023-07-03 08:58:01,ABOKHA,E2FCEY,TS,TS,Check in,-,MC1362,FUNDAMENTALS OF DATABASE SYSTEMS,ELMASRI RAMEZ,RIT,RIT
2023-07-03 08:58:14,ABOKHA,E2FCEY,TS,TS,Check in,-,66948,DATABASE SYSTEM CONCEPTS,"SILBERSCHATZ, ABRAHAM",RIT,RIT
2023-07-03 09:19:36,1LBHRM,NZTZG9,UNDER GRADUATION(UG),UG,Renew,-,48951,STRENTH OF MATERIALS,ANNAIAH M H,RIT,RIT
2023-07-03 09:19:50,1LBHRM,NZTZG9,UNDER GRADUATION(UG),UG,Renew,-,80638,OPERATIONS RESEARCH,"NAIDU,N V R",RIT,RIT
2023-07-03 09:21:40,1LBHRM,NZTZG9,UNDER GRADUATION(UG),UG,Other,-2.0000,,,,,
2023-07-03 09:24:54,S9ZGP5,XOZ2S8,,UG,Check in,-,80769,"CONSTRUCTION AND PROJECT MANAGEMENT : FOR ENGINEERS,ARCHITECTS,PLANNERS,BUILDERS",KRISHNAMURTHY K G,RIT,RIT
2023-07-03 09:25:12,S9ZGP5,XOZ2S8,,UG,Check in,-,95543,BASIC DESIGN INDEX,"KRAUSE,JIM",RIT,RIT
2023-07-03 09:27:40,S9ZGP5,XOZ2S8,,UG,Other,-467.0000,,,,,
2023-07-03 09:43:17,44MZS1,1T4B8P,UNDER GRADUATION(UG),ST,Check in,-,83750,TCR JAVA,SCHILDT,RIT,RIT
2023-07-03 09:57:38,BW4DIT,FH8P37,PG,PG,Check out,,MB5842,YES FACTOR :GET WHAT YOU WANT .SAY WHAT YOU MEAN,BEIMAN TONYA,RIT,RIT
2023-07-03 09:57:45,BW4DIT,FH8P37,PG,PG,Check out,,MB6453,WINNING TO INNOVATION THE A TO F MODEL,BES FERNANDO TRIAS DO KOTLER,RIT,RIT
2023-07-03 10:01:58,WZPME7,AQGSLE,COMPUTER SCIENCE(SCS),UG,Check in,-,82283,CLOUD COMPUTING THEORY AND PRACTICE,DAN C. MARINESCU,RIT,RIT
2023-07-03 10:03:13,WZPME7,AQGSLE,COMPUTER SCIENCE(SCS),UG,Other,-477.0000,,,,,
2023-07-03 10:17:56,34GEWH,W2TIFL,UNDER GRADUATION(UG),UG,Renew,-,70488,A TEXTBOOK OF FLUID MECHANICS AND HYDRAULIC MACHINES,"BANSAL,R K",RIT,RIT
2023-07-03 10:18:45,93VUAL,V781ME,UNDER GRADUATION(UG),UG,Renew,-,89650,DIGITAL IMAGE PROCESSING,GONZALEZ,RIT,RIT
2023-07-03 10:27:43,E32GF5,VPG1UU,Industrial Engineering(IEM),TS,Check out,,95023,ESSENTIALS OF ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT,SCARBOROUGH,RIT,RIT
2023-07-03 10:48:28,6CN460,TZQ08U,UNDER GRADUATION(UG),ST,Check out,,39096,"DIGITAL SIGNAL PROCESSING: PRINCIPLES,ALGORITHMS AND APPLICATIONS","PROAKIS, JOHN G",RIT,RIT
2023-07-03 10:54:55,915RSB,CVK9QN,ME,UG,Check in,-,77768,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-03 10:55:18,915RSB,CVK9QN,ME,UG,Renew,-,95799,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-07-03 10:55:42,5ZZS58,OBO91B,ME,UG,Check in,-,77746,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-03 10:56:23,YYNAWY,LEJRSX,BT,UG,Check out,,85430,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA M N",RIT,RIT
2023-07-03 10:56:47,KZS615,LNCGJV,UNDER GRADUATION(UG),UG,Check in,-,71566,ELECTRONIC DEVICES AND CIRCUITS,"BELL, DAVID",RIT,RIT
2023-07-03 10:57:47,GL154J,SJD2RQ,UNDER GRADUATION(UG),UG,Renew,-,77765,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-03 10:58:08,GL154J,SJD2RQ,UNDER GRADUATION(UG),UG,Renew,-,92495,KANNADA KALI,HALEMANE LINGADVARU,RIT,RIT
2023-07-03 10:58:38,5UNNSY,A8CSOR,UNDER GRADUATION(UG),UG,Renew,-,77774,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-03 10:59:59,T2O32T,0BWEUJ,UNDER GRADUATION(UG),ST,Check in,-,52678,COMMUNICATION SYSTEMS,"SIMON, HAYKIN",RIT,RIT
2023-07-03 11:05:04,UVQWYL,CAPB9J,CSE,UG,Check out,,77759,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-03 11:06:06,OAJNZ4,OW62YV,UNDER GRADUATION(UG),UG,Check out,,77737,ELEMENTS OF MECHANICAL ENGINEERING,PRAVEEN,RIT,RIT
2023-07-03 11:06:40,OAJNZ4,OW62YV,UNDER GRADUATION(UG),UG,Check in,-,77737,ELEMENTS OF MECHANICAL ENGINEERING,PRAVEEN,RIT,RIT
2023-07-03 11:07:15,OAJNZ4,OW62YV,UNDER GRADUATION(UG),UG,Check out,,77746,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-03 11:10:30,8EYN8H,NX3KA2,UNDER GRADUATION(UG),UG,Check in,-,77727,ELEMENTS OF MECHANICAL ENGINEERING,PRAVEEN,RIT,RIT
2023-07-03 11:12:14,8EYN8H,NX3KA2,UNDER GRADUATION(UG),UG,Check out,,77768,ELEMENTS OF MECHANICAL ENGINEERING,GOPALAKRISHNA,RIT,RIT
2023-07-03 11:20:39,FT6MWU,EZAZ73,MCA,PG,Check in,-,MC4392,PRINCIPLES OF INFORMATION SECURITY,"WHITMAN,MICHAEL E",RIT,RIT
2023-07-03 11:51:17,Q1PWE0,2DSGTP,,TS,Check in,-,59404,COMPUTER NETWORKS: A SYSTEMS APPROACH,"PETERSSON, LARRY L",RIT,RIT
2023-07-03 12:01:40,WONVVX,5M1L13,UNDER GRADUATION(UG),UG,Check out,,76744,A DETAILED TEXT BOOK OF ENGINEERING PHYSICS,BASAVARAJ,RIT,RIT
2023-07-03 12:02:33,J5JRDQ,ZY3XBM,MECH,ST,Check out,,86490,MANUFACTURING TECHNOLOGY VOL.II,RAO P N,RIT,RIT
2023-07-03 12:05:08,E0U5RL,1PUN5L,STR,PG,Check in,-,49931,REINFORCED CONCRETE DESIGN,PILLAI UNNIKRISHNA S,RIT,RIT
2023-07-03 12:05:17,TU0FLQ,2O7QAM,,TS,Check in,-,82616,OBJECT ORIENTED PROGM.WITH C++,BALAGURUSAMY,RIT,RIT
2023-07-03 12:06:19,E0U5RL,1PUN5L,STR,PG,Check in,-,89309,BASIC STRUCTURAL ANALYSIS,REDDY.CS,RIT,RIT
2023-07-03 12:06:39,5WINEP,A728ET,UNDER GRADUATION(UG),UG,Renew,-,92260,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2023-07-03 12:06:42,A971ZO,V2D846,,TS,Check out,,91876,GATE: 2020COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,PUBLICATIONS G K,RIT,RIT
2023-07-03 12:06:51,A971ZO,V2D846,,TS,Check out,,72086,BIG C++,"HORSTMANN, CAY",RIT,RIT
2023-07-03 12:06:57,A971ZO,V2D846,,TS,Check out,,99428,OBJECT ORIENTED PROGRAMMING WITH C++,BALAGURUSAMY E,RIT,RIT
2023-07-03 12:07:09,E0U5RL,1PUN5L,STR,PG,Check in,-,50263,ADVANCED REINFORCED CONCRETE DESIGN,VARGHESE P C,RIT,RIT
2023-07-03 12:09:09,DZXE4O,RJNA31,UNDER GRADUATION(UG),UG,Renew,-,92270,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2023-07-03 12:13:09,E0U5RL,1PUN5L,STR,PG,Other,-126.0000,,,,,
2023-07-03 12:14:25,MP3G25,S67V8R,UNDER GRADUATION(UG),UG,Check out,,95724,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-07-03 12:14:34,MP3G25,S67V8R,UNDER GRADUATION(UG),UG,Check out,,71413,BASIC ELECTRONICS,"KOTHARI, D P",RIT,RIT
2023-07-03 12:14:56,B5YG3T,XOBZN4,MBA,PG,Check in,-,33030,CONSUMER BEHAVIOR,"SCHIFFMAN, LEON G",RIT,RIT
2023-07-03 12:31:06,F4E84G,VX3A8L,TS,TS,Check in,-,45889,INTRODUCTION TO CONSTITUTION OF INDIA,"PYLEE, M V",RIT,RIT
2023-07-03 12:31:19,F4E84G,VX3A8L,TS,TS,Check in,-,76763,A PRACTICAL ENGLISH GRAMMAR,THOMSON,RIT,RIT
