Date,card_number,full_name,Department,Category,Transaction,Amount,Barcode,Title,Author,homebranch,holdingbranch
2023-01-02 10:37:23,5OSZJA,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,93331,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 10:42:48,K7R4FJ,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,45038,INTRODUCTION TO CONSTITUTION OF INDIA,"BASU, DURGA DAS",RIT,RIT
2023-01-02 10:51:33,J5NITC,ICJDNV,AIML,UG,Check in,-,66249,KANNADA KALI,HALEMANE LINGADVARU,RIT,RIT
2023-01-02 10:51:43,J5NITC,ICJDNV,AIML,UG,Renew,-,85472,PHYSICS FOR ENGINEERS,SRINIVASAN M R,RIT,RIT
2023-01-02 10:52:02,F3HWQQ,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,97721,DESIGN THINKING: UNDERSTAND IMPROVE APPLY,,RIT,RIT
2023-01-02 10:52:06,F3HWQQ,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,66423,CHEMISTRY FOR ENGINEERING STUDENTS,"JAI PRAKASH, B S",RIT,RIT
2023-01-02 10:52:10,F3HWQQ,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,60109,COMPUTER AIDED ENGINEERING DRAWING,ANNAIAH M H,RIT,RIT
2023-01-02 10:52:40,O17RMC,ICJDNV,BT,UG,Check out,,76797,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 10:52:45,O17RMC,ICJDNV,BT,UG,Check out,,71945,PROGRAMMING IN C,THAREJA REEMA,RIT,RIT
2023-01-02 10:52:57,O17RMC,ICJDNV,BT,UG,Check out,,93371,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 10:55:13,QHA3QG,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,67430,PROGRAMMING IN C,"THAREJA, REEMA",RIT,RIT
2023-01-02 10:59:38,E0JYAQ,ICJDNV,CSE_AIML,UG,Check in,-,58431,PHYSICS FOR ENGINEERS,SRINIVASAN R,RIT,RIT
2023-01-02 10:59:53,X3IK8Z,ICJDNV,AIML,UG,Check in,-,92925,PROGRAMMING IN C,THAREJA REEMA,RIT,RIT
2023-01-02 11:00:03,8HW60P,ICJDNV,ARCH,TS,Check out,,96158,GATE-2021 ARCHITECTURE AND PLANNING PREVIOUS YEARS SOLVED PAPERS 2009-2020,G.K.PUBLISHERS,RIT,RIT
2023-01-02 11:00:11,8HW60P,ICJDNV,ARCH,TS,Check out,,95278,PRINCIPLES OF ENGINEERING GEOLOGY,GOKHALE K V G K,RIT,RIT
2023-01-02 11:00:27,X3IK8Z,ICJDNV,AIML,UG,Check out,,58431,PHYSICS FOR ENGINEERS,SRINIVASAN R,RIT,RIT
2023-01-02 11:00:33,8HW60P,ICJDNV,ARCH,TS,Check in,-,95278,PRINCIPLES OF ENGINEERING GEOLOGY,GOKHALE K V G K,RIT,RIT
2023-01-02 11:00:38,HML0N5,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,31663,ENGINEERING MATHEMATICS FIRST SEMESTER (VTU),"SINGAPERUMAL, Y G",RIT,RIT
2023-01-02 11:00:52,HML0N5,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,62061,PROGRAMMING IN ANSI C,BALAGURUSAMY E,RIT,RIT
2023-01-02 11:00:52,8HW60P,ICJDNV,ARCH,TS,Check out,,96278,GATE-2021 ARCHITECTURE AND PLANNING (VOL.I) 2017-2020,G.K.PUBLICATIONS,RIT,RIT
2023-01-02 11:00:59,8HW60P,ICJDNV,ARCH,TS,Check out,,96279,GATE-2021 ARCHITECTURE AND PLANNING (VOL.I) 2017-2020,G.K.PUBLICATIONS,RIT,RIT
2023-01-02 11:01:10,UPXA51,ICJDNV,BT,UG,Check in,-,63169,COMPUTER BASICS AND C PROGRAMMING,RAJARAMAN V,RIT,RIT
2023-01-02 11:01:16,UPXA51,ICJDNV,BT,UG,Check in,-,85476,PHYSICS FOR ENGINEERS,SRINIVASAN M R,RIT,RIT
2023-01-02 11:05:21,NUU8Q4,ICJDNV,CHEM,UG,Check in,-,97701,Design thinking in the classroom :,"Lee, David.",RIT,RIT
2023-01-02 11:05:31,NUU8Q4,ICJDNV,CHEM,UG,Check in,-,93146,ENGINEERING DRAWING,BHATT LATE N D,RIT,RIT
2023-01-02 11:07:20,GAYOLR,ICJDNV,UNDER GRADUATION(UG),ST,Check in,-,78039,FUNDAMENTALS OF ELECTRIC CIRCUITS,ALEXANDER,RIT,RIT
2023-01-02 11:07:44,QX6UEB,ICJDNV,UNDER GRADUATION(UG),ST,Check in,-,92417,KANNADA KALI,HALEMANE LINGADVARU,RIT,RIT
2023-01-02 11:08:16,CGYMXD,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,1,THE BIBLE,STIRLING J,RIT,RIT
2023-01-02 11:08:17,QARA1C,ICJDNV,,NT,Check out,,1,THE BIBLE,STIRLING J,RIT,RIT
2023-01-02 11:08:55,QARA1C,ICJDNV,,NT,Check in,-,1,THE BIBLE,STIRLING J,RIT,RIT
2023-01-02 11:09:37,G6JZ7X,ICJDNV,,NT,Check out,,1,THE BIBLE,STIRLING J,RIT,RIT
2023-01-02 11:09:48,G6JZ7X,ICJDNV,,NT,Check in,-,1,THE BIBLE,STIRLING J,RIT,RIT
2023-01-02 11:11:02,ISEC50,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,76207,ENGINEERING CHEMISTRY,GADAG R V,RIT,RIT
2023-01-02 11:11:25,ISEC50,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,93714,BASIC ELECTRICAL ENGINEERING,RAO M V,RIT,RIT
2023-01-02 11:11:50,87XUXF,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,93373,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 11:12:47,BZD7VP,ICJDNV,UNDER GRADUATION(UG),ST,Renew,-,95742,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-01-02 11:13:17,GAYOLR,ICJDNV,UNDER GRADUATION(UG),ST,Other,-6.0000,,,,,
2023-01-02 11:13:41,7BHL3I,ICJDNV,UNDER GRADUATION(UG),ST,Renew,-,DL301207,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI, RAMEZ",RIT,RIT
2023-01-02 11:18:19,9TBJ96,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,93724,BASIC ELECTRICAL ENGINEERING,RAO M V,RIT,RIT
2023-01-02 11:24:24,JVPUM5,ICJDNV,UNDER GRADUATION(UG),ST,Renew,-,70588,A TEXTBOOK OF FLUID MECHANICS,"BANSAL, R K",RIT,RIT
2023-01-02 11:24:37,JVPUM5,ICJDNV,UNDER GRADUATION(UG),ST,Renew,-,94046,UNIT OPERATIONS-I: FLUID FLOW & MECHANICAL OPERATIONS,"GAVHANE, K A",RIT,RIT
2023-01-02 11:47:46,PT96R9,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,77321,CONSTITUTION OF INDIA AND PROFESSIONAL ETHICS AND HUMAN RIGHTS,PHANEESH,RIT,RIT
2023-01-02 11:48:00,V88V4R,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,64822,FACADES: SELECTION AND DETAILS,"BRUTO, CARLES",RIT,RIT
2023-01-02 11:48:30,V88V4R,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,DB2042,CONCRETE ROADS: DESIGN AND CONSTRUCTION,M.T.R.R.L,RIT,RIT
2023-01-02 11:53:05,MJF0U5,ICJDNV,PG,PG,Check out,,MB7328,CONSUMER BEHAVIOR,SCHIFFMAN,RIT,RIT
2023-01-02 11:55:31,G9GN0N,ICJDNV,ARCH,TS,Check in,-,97742,HAPPY CITY: TRANSFORMING OUR LIVES THROUGH URBAN DESIGN,CHARLES MONTGOMERY,RIT,RIT
2023-01-02 11:55:46,G9GN0N,ICJDNV,ARCH,TS,Check in,-,97176,FUNDAMENTALS OF TOWN PLANNING,"HIRASKAR, G K",RIT,RIT
2023-01-02 11:56:45,YRD47C,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,47328,CHEMISTRY FOR ENGINEERING STUDENTS FOR FIRST YEAR B E COURSE,JAIPRAKASH B S,RIT,RIT
2023-01-02 11:56:57,YRD47C,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,93548,BASIC ELECTRICAL ENGINEERING,CHANDRASHEKARAIAH P M,RIT,RIT
2023-01-02 11:57:11,9P8MZI,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,93844,CALCULUS AND LINEAR ALGEBRA,CHANDRASHEKAR D S,RIT,RIT
2023-01-02 11:57:50,5W3854,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,93394,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 11:58:07,5W3854,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,71934,PROGRAMMING IN C,THAREJA REEMA,RIT,RIT
2023-01-02 12:03:16,UWDH87,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,77859,ENGINEERING MATHEMATICS - I FOR FIRST SEMESTER B E CLASSES,DR.D.S.C.,RIT,RIT
2023-01-02 12:03:24,UWDH87,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,76789,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:03:58,SGSXTW,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,66453,CHEMISTRY FOR ENGINEERING STUDENTS,"JAI PRAKASH, B S",RIT,RIT
2023-01-02 12:04:03,SGSXTW,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,93847,CALCULUS AND LINEAR ALGEBRA,CHANDRASHEKAR D S,RIT,RIT
2023-01-02 12:05:27,I2QLPQ,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,93369,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 12:05:52,I2QLPQ,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,77859,ENGINEERING MATHEMATICS - I FOR FIRST SEMESTER B E CLASSES,DR.D.S.C.,RIT,RIT
2023-01-02 12:06:10,FV5AXT,ICJDNV,AIML,UG,Check in,-,63198,COMPUTER BASICS AND C PROGRAMMING,RAJARAMAN V,RIT,RIT
2023-01-02 12:07:14,E0JYAQ,ICJDNV,CSE_AIML,UG,Renew,-,5915,BASIC ELECTRONICS,ZBAR P B,RIT,RIT
2023-01-02 12:07:57,89XH3D,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,42267,INTRODUCTION TO THE CONSTITUTION OF INDIA,PYLEE M V,RIT,RIT
2023-01-02 12:08:12,89XH3D,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,92214,BASIC ELECTRICAL ENGINEERING,KULSHRESHTHA D,RIT,RIT
2023-01-02 12:08:30,KL6BWG,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,71891,PROGRAMMING IN C,THAREJA REEMA,RIT,RIT
2023-01-02 12:08:38,KL6BWG,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,76784,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:08:44,KL6BWG,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,92863,CALCULUS,THOMAS J R,RIT,RIT
2023-01-02 12:08:57,P796HM,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,83123,SEMICONDUCTOR DEVICES: PHYSICS AND TECHNOLOGY,SZE S M,RIT,RIT
2023-01-02 12:09:06,6F3S6B,ICJDNV,MBA,PG,Check in,-,MB7831,RESEARCH METHODOLOGY METHODS AND TECHNIQUES : METHODS AND TECHNIQUES,"KOTHARI,C R AND GARG,GAURAV",RIT,RIT
2023-01-02 12:09:07,FY0WK8,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,95713,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-01-02 12:09:15,FY0WK8,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,98491,A TEXT BOOK OF ENGINEERING PHYSICS,M.N. AVADHANULU AND P.G. KSHIRSAGAR,RIT,RIT
2023-01-02 12:09:23,FY0WK8,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,71966,PROGRAMMING IN C,"THAREJA, REEMA",RIT,RIT
2023-01-02 12:09:31,FY0WK8,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,93387,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 12:10:40,RNWSQJ,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,33517,SIGNALS & SYSTEMS,"HAYKIN, SIMON",RIT,RIT
2023-01-02 12:12:23,K6YJHR,ICJDNV,ME,UG,Renew,-,77883,ENGINEERING MATHEMATICS - I FOR FIRST SEMESTER B E CLASSES,DR.D.S.C.,RIT,RIT
2023-01-02 12:13:58,Y59TQW,ICJDNV,ME,UG,Check out,,77884,ENGINEERING MATHEMATICS - I FOR FIRST SEMESTER B E CLASSES,DR.D.S.C.,RIT,RIT
2023-01-02 12:15:02,1UXF9U,ICJDNV,CSE_AIML,UG,Renew,-,62888,C PROGRAMMING LANGUAGES,KERNIGHAN BRAIN W,RIT,RIT
2023-01-02 12:15:12,1UXF9U,ICJDNV,CSE_AIML,UG,Renew,-,70309,ENGINEERING PHYSICS,"GAUR R K, GUPTA S L",RIT,RIT
2023-01-02 12:15:58,ISTZ9I,ICJDNV,,UG,Check in,-,81760,SIGNAL PROCESSING,SIMON HAYKINN & VEEN,RIT,RIT
2023-01-02 12:17:54,WIY3Q9,ICJDNV,CSE_AIML,UG,Renew,-,92289,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2023-01-02 12:18:03,WIY3Q9,ICJDNV,CSE_AIML,UG,Renew,-,95761,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-01-02 12:18:11,80XMZ2,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,34773,OPERATING SYSTEM CONCEPTS,"SILBERSCHATZ, ABRAHAM",RIT,RIT
2023-01-02 12:19:27,UY312K,8QVM2F,UNDER GRADUATION(UG),ST,Check in,-,40404,DATA COMMUNICATIONS AND NETWORKING,"FOROUZAN, BEHROUZ A",RIT,RIT
2023-01-02 12:21:27,O2VMEA,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,56814,DATA STRUCTURES: A PSEUDOCODE APPOARCH WITH C,GILBERG RICHARD F,RIT,RIT
2023-01-02 12:25:06,4TA61X,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,66452,CHEMISTRY FOR ENGINEERING STUDENTS,"JAI PRAKASH, B S",RIT,RIT
2023-01-02 12:25:12,4TA61X,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,93319,CALCULUS AND LINEAR ALGEBRA,CHANDRASHEKAR K S,RIT,RIT
2023-01-02 12:25:18,4TA61X,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,DB900,COMPUTER AIDED E NGINEERING DRAWING,DUBEY N H,RIT,RIT
2023-01-02 12:28:04,PL0WAF,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,65740,DATA COMMUNICATION AND NETWORKING,"FOROUZAN, BEHROUZ A",RIT,RIT
2023-01-02 12:28:34,WIY3Q9,ICJDNV,CSE_AIML,UG,Check in,-,90346,PYTHON PROGRAMMING,THAREJA,RIT,RIT
2023-01-02 12:30:30,42IIE8,ICJDNV,CSE_AIML,UG,Renew,-,76779,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:30:48,42IIE8,ICJDNV,CSE_AIML,UG,Renew,-,93388,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 12:30:56,42IIE8,ICJDNV,CSE_AIML,UG,Renew,-,92266,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2023-01-02 12:31:19,0VBD0N,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,89106,DIGITAL SIGNAL PROCESSING,"SALIVAHANAN,S",RIT,RIT
2023-01-02 12:31:35,AUCD90,ICJDNV,CHEM,UG,Check out,,66423,CHEMISTRY FOR ENGINEERING STUDENTS,"JAI PRAKASH, B S",RIT,RIT
2023-01-02 12:31:42,A8XQ5W,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,77470,DIGITAL COMMUNICATIONS,HAYKIN,RIT,RIT
2023-01-02 12:33:25,BDVB2Q,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,98925,Operating system concepts /,"Silberschatz, Abraham.",RIT,RIT
2023-01-02 12:35:18,BDVB2Q,ICJDNV,UNDER GRADUATION(UG),UG,Other,-57.0000,,,,,
2023-01-02 12:35:27,HNUWFJ,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,92950,ENGINEERING CHEMISTRY,JAIN P C,RIT,RIT
2023-01-02 12:35:47,C7JNXR,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,33186,DIGITAL AND ANALOG COMMUNICATION SYSTEMS,"SAM, SHANMUGAM K",RIT,RIT
2023-01-02 12:37:57,C7JNXR,ICJDNV,UNDER GRADUATION(UG),UG,Other,-43.0000,,,,,
2023-01-02 12:38:19,I0YZJM,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,98929,Operating system concepts /,"Silberschatz, Abraham.",RIT,RIT
2023-01-02 12:39:30,BAHSB8,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,75143,OPERATIONS MANAGEMENT CONCEPTS MODELS & BEHAVIOUR FOR 8TH SEM MECHANICAL ENGINEERING OF VTU,HEGDE R K,RIT,RIT
2023-01-02 12:39:38,JLZKXM,ICJDNV,BT,UG,Check in,-,85489,PHYSICS FOR ENGINEERS,SRINIVASAN M R,RIT,RIT
2023-01-02 12:39:38,I0YZJM,ICJDNV,UNDER GRADUATION(UG),UG,Other,-46.0000,,,,,
2023-01-02 12:39:59,JUIFCH,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,DB4024,DATA COMMUNICATIONS AND NETWORKING,"FOROUZAN, BEHROUZ, A.",RIT,RIT
2023-01-02 12:40:04,RCTPAG,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,71413,BASIC ELECTRONICS,"KOTHARI, D P",RIT,RIT
2023-01-02 12:40:21,RCTPAG,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,66641,TEXT BOOK OF ENGINEERING PHYSICS: FOR THE STUDENTS OF B.E.,AVADHANULA M N,RIT,RIT
2023-01-02 12:40:33,BAHSB8,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,90999,PRODUCTION AND OPERATIONS MANAGEMENT,PANNEERSELVAM R,RIT,RIT
2023-01-02 12:40:45,BAHSB8,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,90999,PRODUCTION AND OPERATIONS MANAGEMENT,PANNEERSELVAM R,RIT,RIT
2023-01-02 12:40:57,NQZQYM,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,75145,OPERATIONS MANAGEMENT CONCEPTS MODELS & BEHAVIOUR FOR 8TH SEM MECHANICAL ENGINEERING OF VTU,HEGDE R K,RIT,RIT
2023-01-02 12:41:03,JLZKXM,ICJDNV,BT,UG,Check out,,76784,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:41:09,OVW83J,ICJDNV,UNDER GRADUATION(UG),ST,Check in,-,ST645,DESIGN OF MACHINE ELEMENTS-I,DAS J B K,RIT,RIT
2023-01-02 12:41:16,4O9SNZ,ICJDNV,CSE_CY,UG,Check in,-,63184,COMPUTER BASICS AND C PROGRAMMING,RAJARAMAN V,RIT,RIT
2023-01-02 12:41:23,9TXA36,ICJDNV,CSE_CY,UG,Check in,-,92832,PROGRAMMING IN ANSIC,BALAGURUSAMY E,RIT,RIT
2023-01-02 12:41:27,JUIFCH,ICJDNV,UNDER GRADUATION(UG),UG,Other,-53.0000,,,,,
2023-01-02 12:42:09,501F4C,KFVVBA,UNDER GRADUATION(UG),UG,Check out,,66995,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI, RAMEZ",RIT,RIT
2023-01-02 12:42:25,GUSP6N,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,67216,DATA COMMUNICATIONS AND NETWORKING,"FOROUZAN, BEHROUZ A",RIT,RIT
2023-01-02 12:42:34,R01WR0,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,95701,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-01-02 12:43:12,4IQHS3,ICJDNV,UNDER GRADUATION(UG),UG,Renew,-,95657,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2023-01-02 12:43:42,GUSP6N,ICJDNV,UNDER GRADUATION(UG),UG,Other,-8.0000,,,,,
2023-01-02 12:44:14,7YYSRH,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,66119,DATA COMMUNICATION AND NETWORKING,"FOROUZAN, BEHROUZ A",RIT,RIT
2023-01-02 12:44:44,186EM5,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,84445,TREASURE OF RCC DESIGN,SUSHIL KUMAR,RIT,RIT
2023-01-02 12:44:46,SNZNKF,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,88326,CMOS CIRCUIT DESIGN LAYOUT AND SIMULATION,BAKER,RIT,RIT
2023-01-02 12:44:59,SNZNKF,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,77212,CMOS VLSI DESIGN A CIRCUITS AND SYSYEMS PERPECTIVE,WESTE,RIT,RIT
2023-01-02 12:45:41,186EM5,ICJDNV,UNDER GRADUATION(UG),UG,Other,-2.0000,,,,,
2023-01-02 12:45:56,KROEWS,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,52521,DIGITAL COMMUNICATIONS,"HAYKIN, SIMON",RIT,RIT
2023-01-02 12:46:03,KROEWS,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,41110,INTRODUCTION TO ANALOG AND DIGITAL COMMUNICATIONS,"HAYKIN, SIMON",RIT,RIT
2023-01-02 12:46:42,XNRH0X,ICJDNV,AIDS,UG,Check in,-,92423,KANNADA KALI,HALEMANE LINGADVARU,RIT,RIT
2023-01-02 12:46:50,L17MLY,ICJDNV,CSE_AIML,UG,Check in,-,74598,COMPUTER SCIENCE : A STRUCTURED PROGRAMMING APPROACH USING C,"FOROUZAN, BEHRO",RIT,RIT
2023-01-02 12:46:52,XNRH0X,ICJDNV,AIDS,UG,Check in,-,92253,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2023-01-02 12:47:01,XNRH0X,ICJDNV,AIDS,UG,Check in,-,63065,HIGHER ENGINEERING MATHEMATICS,GREWAL B S,RIT,RIT
2023-01-02 12:47:04,9D3NHL,ICJDNV,UNDER GRADUATION(UG),UG,Check in,-,54867,DATA COMMUNICATION AND NETWORKING,,RIT,RIT
2023-01-02 12:47:12,VJ6RAN,ICJDNV,MECHANICAL ENGINEERING,ST,Check in,-,DB4182,DESIGN OF MACHINE ELEMENTS-II,RAGHAVENDRA K,RIT,RIT
2023-01-02 12:47:15,8L18I4,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,76803,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:47:20,4J71QE,ICJDNV,UNDER GRADUATION(UG),ST,Check in,-,66123,DATA COMMUNICATION AND NETWORKING,"FOROUZAN, BEHROUZ A",RIT,RIT
2023-01-02 12:47:31,4IQHS3,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,76789,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:47:43,R01WR0,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,76808,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:47:44,4J71QE,ICJDNV,UNDER GRADUATION(UG),ST,Renew,-,69690,SOFTWARE ENGINEERING,SOMMERVILLE IAN,RIT,RIT
2023-01-02 12:47:56,U44ZLN,ICJDNV,MECHANICAL ENGINEERING,ST,Check in,-,DB3167,DESIGN OF MACHINE ELEMENT,"DAS, J. B. K.",RIT,RIT
2023-01-02 12:47:56,L77IDD,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,76800,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2023-01-02 12:48:15,6YI8M7,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,71416,BASIC ELECTRONICS,"KOTHARI, D P",RIT,RIT
2023-01-02 12:48:20,6YI8M7,ICJDNV,UNDER GRADUATION(UG),UG,Check out,,66625,ENGINEERING PHYSICS,GAUR R K,RIT,RIT
