Date,Card Number,Name,Department,Category,Transaction,Amount,Barcode,Title,Author,homebranch,holdingbranch
2024-07-01 11:36:18,YAEDBM,F1KY4I,UNDER GRADUATION(UG),ST,Check in,-,97313,DIGITAL IMAGE PROCESSING,"GONZALEZ, RAFAEL C.; WOODS, RICHARD E. ; WINTZ, PAUL A.",RIT,RIT
2024-07-01 11:38:29,KAMZQM,UUZREX,CV,ST,Check in,-,93862,ADVANCED CALCULUS AND NUMERICAL METHODS,CHANDRASHEKAR K S,RIT,RIT
2024-07-01 11:38:42,KAMZQM,UUZREX,CV,ST,Check in,-,85434,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA M N",RIT,RIT
2024-07-01 11:39:55,ZJQ8O7,HZAKYV,CV,ST,Check out,-,70325,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA. M. N",RIT,RIT
2024-07-01 12:09:47,64S245,3XX123,UNDER GRADUATION(UG),ST,Check in,-,68245,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR, DONALD R, LEBLANC, STEVEN E",RIT,RIT
2024-07-01 12:10:33,JVV4DR,UHPLGN,UNDER GRADUATION(UG),ST,Check in,-,83744,TCR JAVA,SCHILDT,RIT,RIT
2024-07-01 12:17:50,DAZWVZ,APL8VX,UNDER GRADUATION(UG),UG,Check in,-,67262,INTRODUCTION TO THE DESIGN AND ANALYSIS OF ALGORITHMS,"LEVITIN, ANANY",RIT,RIT
2024-07-01 12:18:10,DAZWVZ,APL8VX,UNDER GRADUATION(UG),UG,Check in,-,99002,"ARCHITECTURE, PROGRAMMING AND INTERFACING OF LOW POWER PROCESSORS","DAS, LYLA B",RIT,RIT
2024-07-01 12:23:36,DPZUMS,MK0CP8,IEM,ST,Check in,-,99146,DISCRETE EVENT SYSTEM SIMULATION,JERRY BANKS JOHN CORSON,RIT,RIT
2024-07-01 12:25:11,ILB5ZT,B301LO,UNDER GRADUATION(UG),ST,Check in,-,95367,DIGITAL IMAGE PROCESSING,"GONZALEZ, RAFAEL WOODS",RIT,RIT
2024-07-01 12:28:30,OA75AQ,EGY7CM,UNDER GRADUATION(UG),ST,Check in,-,72924,INTRODUCTION TO FINITE ELEMENTS IN ENGINEERING,TIRUPATHI R. CHANDRUPATLA,RIT,RIT
2024-07-01 12:28:50,VHHTXA,HJT637,UNDER GRADUATION(UG),ST,Check in,-,75633,PROCESS SYSTEMS ANALYSIS & CONTROL,"COUGHANOWR, DONALD R",RIT,RIT
2024-07-01 12:29:15,A66C5D,CZTJEH,Chemical Engineering,UG,Check in,-,81289,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR, DONALD R, LEBLANC, STEVEN E",RIT,RIT
2024-07-01 12:29:51,W37NFU,KQNAB7,UNDER GRADUATION(UG),ST,Check in,-,81285,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR, DONALD R, LEBLANC, STEVEN E",RIT,RIT
2024-07-01 12:32:42,OA75AQ,EGY7CM,UNDER GRADUATION(UG),ST,Other,-224.0000,,,,,
2024-07-01 12:34:25,GAUOTI,414UQU,UNDER GRADUATION(UG),ST,Check in,-,28982,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR, DONALD R",RIT,RIT
2024-07-01 12:35:49,TALF2D,0MZYHC,ECE,ST,Check in,-,70122,EMBEDDED REAL TIME SYSTEMS CONCEPTS DESIGN AND PROGRAMMING,PRASAD K V K K,RIT,RIT
2024-07-01 12:35:56,TALF2D,0MZYHC,ECE,ST,Check in,-,67526,INTRODUCTION TO EMBEDDED SYSTEMS,"SHIBHU, K V",RIT,RIT
2024-07-01 12:35:57,GAUOTI,414UQU,UNDER GRADUATION(UG),ST,Other,-48.0000,,,,,
2024-07-01 12:36:35,TALF2D,0MZYHC,ECE,ST,Renew,-,100998,MACHINE LEARNING,MITCHELL TOM M,RIT,RIT
2024-07-01 12:36:46,NGAQG6,4PH7J9,BT,UG,Check in,-,99135,PROJECT MANAGEMENT,S CHOUDARY,RIT,RIT
2024-07-01 12:36:48,TALF2D,0MZYHC,ECE,ST,Renew,-,100863,DIGITAL IMAGE PROCESSING,GONZALEZ RAFAELC,RIT,RIT
2024-07-01 12:37:16,QV7DYJ,A6YUUN,BT,ST,Check in,-,91299,PYTHON FOR DATA ANALYSIS: DATA WRANGLING WITH PANDAL NUMPY IPYTHON,"MCKINNEY, WES",RIT,RIT
2024-07-01 12:38:22,XKDDKM,WMP1H5,LVS,PG,Check out,-,67461,DESIGN OF ANALOG CMOS INTEGRATED CIRCUITS,"RAZAVI,BEHZAD",RIT,RIT
2024-07-01 12:38:58,RHYUCU,G1O3XR,UNDER GRADUATION(UG),ST,Check out,-,98828,Internet of Things: A Hands-on Approach,"Arshdeep Bahga, Vijay Madisetti,",RIT,RIT
2024-07-01 12:39:00,UW16XD,0AWP4D,UNDER GRADUATION(UG),ST,Check in,-,95183,CHEMICAL PROCESS CONTROL : INTRODUCTION TO THEORY AND PRACTICE,"STEPHANOPOULOS, GEORGE",RIT,RIT
2024-07-01 12:39:09,UW16XD,0AWP4D,UNDER GRADUATION(UG),ST,Check in,-,89025,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR,DONALD R AND LEBLANC, STEVEN E",RIT,RIT
2024-07-01 12:39:15,64JN6W,J5RWJ5,UNDER GRADUATION(UG),ST,Check in,-,98320,Deep learning,"Bengio, Yoshua, Ian J. Goodfellow, and Aaron Courville.",RIT,RIT
2024-07-01 12:39:28,VHYNIB,QLWO9G,UNDER GRADUATION(UG),ST,Check in,-,95174,CHEMICAL PROCESS CONTROL : INTRODUCTION TO THEORY AND PRACTICE,"STEPHANOPOULOS, GEORGE",RIT,RIT
2024-07-01 12:39:30,64JN6W,J5RWJ5,UNDER GRADUATION(UG),ST,Check in,-,98868,Hands-On Deep Learning Algorithms with Python: Master deep learning algorithms with extensive math by implementing them using TensorFlow,Sudharsan Ravichandiran,RIT,RIT
2024-07-01 12:39:37,VHYNIB,QLWO9G,UNDER GRADUATION(UG),ST,Check in,-,89030,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR,DONALD R AND LEBLANC,STEVEN E",RIT,RIT
2024-07-01 12:40:39,VHYNIB,QLWO9G,UNDER GRADUATION(UG),ST,Other,-60.0000,,,,,
2024-07-01 12:41:40,E9ZA8Y,YH78R1,UNDER GRADUATION(UG),ST,Check in,-,81287,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR, DONALD R, LEBLANC, STEVEN E",RIT,RIT
2024-07-01 12:41:59,KVEAWT,EVRDM8,UNDER GRADUATION(UG),ST,Check in,-,98640,ADDITIVE MANUFACTURING TECNOLOGIES 3D RAPID PROTOTYPING AND DIRECT DIGITAL MANUFACTURING,"GIBSON,IAN., ROSEN, DAVID",RIT,RIT
2024-07-01 12:42:09,I3EHRB,YLCHID,,UG,Check in,-,94842,ESTIMATING COSTING AND VALUATION,RANGWALA,RIT,RIT
2024-07-01 12:42:46,8U09C7,SDIYUC,,UG,Check in,-,94841,ESTIMATING COSTING AND VALUATION,RANGWALA,RIT,RIT
2024-07-01 12:42:57,IX319R,GS32AI,UNDER GRADUATION(UG),ST,Check in,-,98321,Deep learning,"Bengio, Yoshua, Ian J. Goodfellow, and Aaron Courville.",RIT,RIT
2024-07-01 12:43:20,IX319R,GS32AI,UNDER GRADUATION(UG),ST,Renew,-,95027,ESSENTIALS OF ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT,SCARBOROUGH,RIT,RIT
2024-07-01 12:43:41,6JRCVZ,R0P97T,UNDER GRADUATION(UG),UG,Renew,-,53892,ENGINEERING ELECTROMAGNETICS,"HAYT, WILLIAM H",RIT,RIT
2024-07-01 12:44:34,KVEAWT,EVRDM8,UNDER GRADUATION(UG),ST,Other,-123.0000,,,,,
2024-07-01 12:46:43,P8XEOY,TR8IFO,UNDER GRADUATION(UG),ST,Check in,-,98871,Hands-On Deep Learning Algorithms with Python: Master deep learning algorithms with extensive math by implementing them using TensorFlow,Sudharsan Ravichandiran,RIT,RIT
2024-07-01 12:46:52,4VLJ5V,UAVUGQ,UNDER GRADUATION(UG),ST,Check in,-,89395,ENVIRONMENTAL ENGINEERING,PEAVY,RIT,RIT
2024-07-01 12:47:45,MDWDIH,33IOWC,ETE,ST,Check out,-,92294,BASIC ELECTRONICS: 1ST AND 2ND SEMESTER,NAGABHUSHAN M,RIT,RIT
2024-07-01 12:48:43,KTXE9U,9ISWMH,ME,UG,Check in,-,DB3468,MODELING & FINITE ELEMENT ANALYSIS,S.B.HALESH,RIT,RIT
2024-07-01 12:48:57,9INLUJ,FBN36M,ME,UG,Check in,-,68457,FINITE ELEMENT ANALYSIS,BHAVIKATTI S S,RIT,RIT
2024-07-01 12:49:29,FI82OA,1EGUOC,ARCH,ST,Check in,-,DB6203,MATTE HAADITU KOGILE,A R MANIKAANT,RIT,RIT
2024-07-01 12:50:25,KJUVOK,KEHRZ2,UNDER GRADUATION(UG),ST,Check in,-,91420,INTRODUCTION TO MACHINE LEARNING,"ALPADIN, ETHEM",RIT,RIT
2024-07-01 12:52:57,KJUVOK,KEHRZ2,UNDER GRADUATION(UG),ST,Other,-48.0000,,,,,
2024-07-01 12:53:30,BUZ5U7,B9UBJN,CSE,ST,Check in,-,82370,CLOUD COMPUTING A HANDS ON APPROACH,"ARSHDEEP BAHGA,VIJAY MADISETTI",RIT,RIT
2024-07-01 12:53:34,ID35L1,2J47LL,UNDER GRADUATION(UG),ST,Renew,-,68779,ENGINEERING ECONOMY,"NAIDU, BABU",RIT,RIT
2024-07-01 12:53:36,BUZ5U7,B9UBJN,CSE,ST,Check in,-,97941,GATE TOPIC-WISE PREVIOUS YEARS' SOLVED QUESTION PAPERS COMPUTER SCIENCE AND INFORMATION TECHNOLOGY 2022,PEARSON,RIT,RIT
2024-07-01 12:54:36,KTXE9U,9ISWMH,ME,UG,Check out,-,78510,MECHATRONICS,HMT,RIT,RIT
2024-07-01 12:56:00,BUZ5U7,B9UBJN,CSE,ST,Other,-17.0000,,,,,
2024-07-01 12:56:19,D9NE0T,LXY7VD,ECE,ST,Check in,-,DB5851,INTRODUCTION TO EMBEDDED SYSTEMS,SHIBU K V,RIT,RIT
2024-07-01 12:56:43,D9NE0T,LXY7VD,ECE,ST,Renew,-,77287,COMPUTER ORGANIZATION AND DESIGN,PATTERSON,RIT,RIT
2024-07-01 12:57:44,64QKRR,L7CV4P,EC,UG,Check in,-,100878,JAVA THE COMPLETE REFERENCE,SCHILDT HERBERT,RIT,RIT
2024-07-01 12:58:04,64QKRR,L7CV4P,EC,UG,Check in,-,84644,EMBEDDED REAL TIME SYSTEMS CONCEPTS DESIGN AND PROGRAMMING,PRASAD K V K K,RIT,RIT
2024-07-01 12:58:50,HL8CC7,V89ICZ,UNDER GRADUATION(UG),ST,Check in,-,68240,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR, DONALD R, LEBLANC, STEVEN E",RIT,RIT
2024-07-01 12:59:07,8A9HHA,VY5H88,UNDER GRADUATION(UG),ST,Check in,-,89021,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR,DONALD R AND LEBLANC STEVEN E",RIT,RIT
2024-07-01 12:59:25,VSHQLU,KQPF20,UNDER GRADUATION(UG),ST,Check in,-,86807,PROCESS SYSTEMS ANALYSIS AND CONTROL,COUGHANOWR,RIT,RIT
2024-07-01 12:59:59,IJ2T7B,Q2J6WI,UNDER GRADUATION(UG),ST,Check in,-,53788,OPERATING SYSTEMS : A CONCEPT BASED APPROAH,"DHAMDHERE, DHANANJAY M",RIT,RIT
2024-07-01 13:00:23,IJ2T7B,Q2J6WI,UNDER GRADUATION(UG),ST,Check in,-,99827,DATA STRUSTURES USING C & C++,"LANGSAM, YEDIDYAH, AUGENSTEIN, MOSHE J, TENENBAUM AARDN",RIT,RIT
2024-07-01 13:00:40,IJ2T7B,Q2J6WI,UNDER GRADUATION(UG),ST,Renew,-,69667,CLOUD COMPUTING: THEORY AND PRACTICE,"MARINESCU, DAN C",RIT,RIT
2024-07-01 13:01:03,82FCZT,UP6DL4,UNDER GRADUATION(UG),ST,Check in,-,56835,DATA STRUCTURES USING C++,MALIK D S,RIT,RIT
2024-07-01 13:03:25,82FCZT,UP6DL4,UNDER GRADUATION(UG),ST,Other,-18.0000,,,,,
2024-07-01 13:03:40,6QPJMK,JW1DO3,LVS,PG,Check in,-,86849,RESEARCH METHODOLOGY METHODS AND TECHNIQUES,KOTHARI,RIT,RIT
2024-07-01 13:04:06,HCGI1F,HDZB66,EEE,UG,Check in,-,87015,PRINCIPLES OF POWER SYSTEM,MEHATA,RIT,RIT
2024-07-01 13:07:26,74C0MV,OOIS79,UNDER GRADUATION(UG),UG,Check in,-,82987,"DIGITAL SIGNAL PROCESSING PRINCIPLES,ALGORITHMS AND APPLICATIONS: PRINCIPLES","PROAKIS, JOHN G",RIT,RIT
2024-07-01 13:11:04,74C0MV,OOIS79,UNDER GRADUATION(UG),UG,Other,-38.0000,,,,,
2024-07-01 13:14:19,5H4FEY,UWQHTH,UNDER GRADUATION(UG),UG,Check out,25.0000,BB2820,SIGNAL AND SYSTEMS,GANESH RAO D,RIT,RIT
2024-07-01 13:19:11,P8XEOY,TR8IFO,UNDER GRADUATION(UG),ST,Check out,-,73391,SYSTEM SIMULATION MODELLING AND LANGUAGES,PANNEERSELVAM R,RIT,RIT
2024-07-01 13:22:32,IVZ8H6,3EUC7H,UNDER GRADUATION(UG),ST,Check in,-,68462,FINITE ELEMENT ANALYSIS IN ENGINEERING DESIGN,RAJASEKARAN,RIT,RIT
2024-07-01 13:26:03,NPE15K,16YYUO,RAI,PG,Check in,-,67977,DATA STRUCTURES USING C,BALAGURUSAMY E,RIT,RIT
2024-07-01 13:30:02,IY4HKN,E1HF8J,CHEM,UG,Renew,-,81637,CHEMICAL REACTION ENGINEERING,"LEVENSPIEL, OCTAVE",RIT,RIT
2024-07-01 13:30:34,IY4HKN,E1HF8J,CHEM,UG,Check in,-,16050,HEAT TRANSFER,"HOLMAN, J P",RIT,RIT
2024-07-01 13:31:56,CSLV0B,0Q8UPS,CHEM,UG,Check out,-,81283,PROCESS HEAT TRANSFER,"KERN, DONALD Q",RIT,RIT
2024-07-01 13:32:49,IY4HKN,E1HF8J,CHEM,UG,Check out,-,81284,PROCESS HEAT TRANSFER,"KERN, DONALD Q",RIT,RIT
2024-07-01 13:33:39,PSWUH2,1P2A0G,ECE,ST,Renew,-,DL302536,SIGNALS AND SYSTEMS,"HAYKINS, SIMON",RIT,RIT
2024-07-01 13:43:08,ISYLEF,LRXFWG,CHEM,UG,Check out,-,86803,PROCESS HEAT TRANSFER,KERN DONALD,RIT,RIT
2024-07-01 13:43:45,ISYLEF,LRXFWG,CHEM,UG,Check in,-,99117,KERN'S PROCESS HEAT TRANSFER,"ANN MARIE FLYNN, TOSHIHIRO AKASHIGE, LOUIS THEODORE",RIT,RIT
2024-07-01 13:45:30,L1WAAG,5KIW2W,,ST,Check out,-,54525,PRINCIPLES OF METAL CASTING,"HEINE, RICHARD W",RIT,RIT
2024-07-01 13:48:11,J1PJJG,LS5SFO,CV,ST,Check in,-,89310,BUILDING CONSTRUCTION,KUMAR,RIT,RIT
2024-07-01 13:48:31,AHBW90,9KKNSV,UNDER GRADUATION(UG),UG,Renew,-,39847,COMMUNICATION SYSTEMS,"HAYKIN, SIMON",RIT,RIT
2024-07-01 13:48:47,AHBW90,9KKNSV,UNDER GRADUATION(UG),UG,Renew,-,74972,FUNDAMENTALS OF APPLIED ELECTROMAGNETICS,FAWWAZ T. ULABY,RIT,RIT
2024-07-01 13:52:00,G0KY4C,XDWBQB,CSE,ST,Check in,-,88612,ENGLISH LANGUAGE AND COMMUNICATION SKILLS,KUMAR,RIT,RIT
2024-07-01 13:52:08,G0KY4C,XDWBQB,CSE,ST,Check in,-,66587,TECHNICAL COMMUNICATION: PRINCIPLES AND PRACTICE,"RAMAN, MEENAKSHI",RIT,RIT
2024-07-01 13:52:19,G0KY4C,XDWBQB,CSE,ST,Check in,-,98939,ADVANCED ENGLISH GRAMMAR WITH ANSWERS,,RIT,RIT
2024-07-01 13:52:28,G0KY4C,XDWBQB,CSE,ST,Check in,-,94859,EFFECTIVE TECHNICAL COMMUNICATION,"RIZVI, ASHRAF M",RIT,RIT
2024-07-01 15:06:12,0RSSLA,04FUWC,UNDER GRADUATION(UG),UG,Renew,-,99166,DEEP LEARNING- A PRACTITIONERS APPROACH,"Josh Patterson, Adam Gibson,",RIT,RIT
2024-07-01 15:06:35,Y23FLQ,HCLYFS,UNDER GRADUATION(UG),UG,Check in,-,54070,ENGINEERING ELECTROMAGNETICS,"HAYT, WILLIAM H",RIT,RIT
2024-07-01 15:10:55,Y23FLQ,HCLYFS,UNDER GRADUATION(UG),UG,Check out,-,91260,DEEP LEARNING : A PRACTITIONERS APPROACH,"PATTERSON, JOSH",RIT,RIT
2024-07-01 15:15:56,P0DSKY,MAIB3Z,UNDER GRADUATION(UG),UG,Renew,-,99417,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI,RAMEZ AND NAVATHE SHAMKANT",RIT,RIT
2024-07-01 15:16:10,P0DSKY,MAIB3Z,UNDER GRADUATION(UG),UG,Renew,-,98980,"ARCHITECTURE, PROGRAMMING AND INTERFACING OF LOW POWER PROCESSORS","DAS, LYLA B",RIT,RIT
2024-07-01 15:22:03,9ROSNU,UZWK6X,UNDER GRADUATION(UG),UG,Check out,-,96773,MACHINE LEARING WITH PYTHON FOR EVERYONE,MARK FENNER,RIT,RIT
2024-07-01 15:22:15,9ROSNU,UZWK6X,UNDER GRADUATION(UG),UG,Check out,-,100015,MACHINE LEARNING - AN ALGORITHMIC PERSPECTIVE,"MARSLAND, STEPHEN",RIT,RIT
2024-07-01 15:22:16,1SU9GF,DBH0C4,UNDER GRADUATION(UG),ST,Check in,-,89022,PROCESS SYSTEMS ANALYSIS AND CONTROL,"COUGHANOWR,DONALD R LEBLANC STEVEN E",RIT,RIT
2024-07-01 15:22:55,TQP2KX,8U81ZJ,UNDER GRADUATION(UG),UG,Check out,-,100010,INTRODUCTION TO THE DESIGN & ANALYSIS OF ALGORITHMS,"LEVITIN, ANANY",RIT,RIT
2024-07-01 15:23:15,TQP2KX,8U81ZJ,UNDER GRADUATION(UG),UG,Check out,-,99001,"ARCHITECTURE, PROGRAMMING AND INTERFACING OF LOW POWER PROCESSORS","DAS, LYLA B",RIT,RIT
2024-07-01 15:23:30,TQP2KX,8U81ZJ,UNDER GRADUATION(UG),UG,Check out,-,99491,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI,RAMEZ AND NAVATHE SHAMKANT",RIT,RIT
2024-07-01 15:24:05,P0DSKY,MAIB3Z,UNDER GRADUATION(UG),UG,Check out,-,87289,INTRODUCTION TO THE DESIGN AND ANALYSIS OF ALGORITHMS,LEVITIN,RIT,RIT
2024-07-01 15:37:45,7R1FCB,607IIH,CSE,UG,Renew,-,100968,HANDS-ON MACHINE LEARNING WITH SCIKIT -LEARN KERAS &TENSOR FLOW,GERON AURELIEN,RIT,RIT
2024-07-01 15:45:09,GLLUGN,5SW4R4,CSE_CY,UG,Check in,-,99971,ALGORITHM DESIGN,"KLEINBERG, JON TARDOS, EVA",RIT,RIT
2024-07-01 15:49:58,JCDQJZ,R4Z8VF,CSE,UG,Renew,-,100086,"INTRODUCTION TO AUTOMATA THEORY, LANGUAGES AND COMPUTATION","HOPCROFT, JOHN.E. MOTWANI, RAJEEV ULLMAN, JEFFEREY D",RIT,RIT
2024-07-01 15:50:26,JQ7SZ4,ZLQ58D,CHEM,UG,Check in,-,53042,PROCESS HEAT TRANSFER,"KERN, DONALD Q",RIT,RIT
2024-07-01 15:51:12,WL1MU2,MWFVSW,UNDER GRADUATION(UG),UG,Check in,-,100295,AUTOMATE THE BORING STUTF WITH PYTHON,SWEIGART A L,RIT,RIT
2024-07-01 15:53:35,WL1MU2,MWFVSW,UNDER GRADUATION(UG),UG,Other,-292.0000,,,,,
2024-07-01 15:54:13,0B750W,IJ898U,UNDER GRADUATION(UG),UG,Check out,-,81996,CONTROL SYSTEMS ENGINEERING,"NAGARATH, I J",RIT,RIT
2024-07-01 15:54:28,0B750W,IJ898U,UNDER GRADUATION(UG),UG,Check out,-,DL301299,BIOMEDICAL DIGITAL SIGNAL PROCESSING,"TOMPKINS, WILLIS J",RIT,RIT
2024-07-01 15:55:04,OBB3V5,Q0B4YV,CHEM,UG,Renew,-,88986,MASS TRANSFER OPERATIONS,"TREYBAL,ROBERT E",RIT,RIT
2024-07-01 15:55:14,OBB3V5,Q0B4YV,CHEM,UG,Renew,-,88981,INTRODUCTION TO CHEMICAL ENGINEERING THERMODYNAMICS,"SMITH,J M AND OTHERS",RIT,RIT
2024-07-01 15:55:28,OBB3V5,Q0B4YV,CHEM,UG,Renew,-,85107,GATE GUIDE CHEMICAL ENGINEERING-2018,GKP,RIT,RIT
2024-07-01 15:58:51,0Q2A4K,M64P2J,,UG,Check out,25.0000,BB3277,MACHINE DESIGN DATA HAND BOOK,LINGAIAH K,RIT,RIT
2024-07-01 16:00:16,ROSFMQ,5W7CA1,UNDER GRADUATION(UG),ST,Check out,-,75518,DATA COMMUNICATIONS AND NETWORKING,"FOROUZAN, BEHROUZ A.",RIT,RIT
2024-07-01 16:02:10,26UAR5,6LASIC,ECE,ST,Other,-32.0000,,,,,
2024-07-01 16:03:19,9ROSNU,UZWK6X,UNDER GRADUATION(UG),UG,Check out,-,91276,HANDS ON MACHINE LEARNING WITH SCIKIT: LEARN AND TENSOR FLOW,"GERON, AURELIN",RIT,RIT
2024-07-01 16:05:16,9ROSNU,UZWK6X,UNDER GRADUATION(UG),UG,Check in,-,96773,MACHINE LEARING WITH PYTHON FOR EVERYONE,MARK FENNER,RIT,RIT
2024-07-01 16:26:07,AMF6EV,2730YQ,UNDER GRADUATION(UG),UG,Check out,-,72655,"COMPILERS: PRINCIPLES, TECHNIQUES AND TOOLS","AHO, ALFRED V.",RIT,RIT
2024-07-01 16:26:26,AMF6EV,2730YQ,UNDER GRADUATION(UG),UG,Check out,-,100091,INTRODUCTION TO THE DESIGN & ANALYSIS OF ALGORITHMS,"LEVITIN, ANANY",RIT,RIT
2024-07-01 16:28:33,9ZVDSY,5ZKX0R,CSE,UG,Check in,-,100788,AUTOMATA THEORY LANGUAGES & COMPUTATION,HOPCROFT JOHN E MOTWANI RAJEEV,RIT,RIT
2024-07-01 16:39:16,A9HNIK,CMIVEL,ECE,ST,Renew,-,78843,PRINCIPLES OF ELECTROMAGNETICS,SADIKU,RIT,RIT
2024-07-01 16:39:25,A9HNIK,CMIVEL,ECE,ST,Renew,-,53677,ENGINEERING ELECTROMAGNETICS,HAYT WILLIAM H,RIT,RIT
2024-07-01 16:43:09,YDF891,9M1ROI,CV,ST,Renew,-,85450,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA M N",RIT,RIT
2024-07-01 18:47:13,Y4I7DD,YD7IDC,LEC,PG,Check out,-,78064,FUNDAMENTALS OF WIRELESS COMMUNICATION,TSE,RIT,RIT
2024-07-01 18:47:24,Y4I7DD,YD7IDC,LEC,PG,Check out,-,71141,INTRODUCTION TO EMBEDDED SYSTEMS,"SHIBHU, K V",RIT,RIT
2024-07-01 18:47:28,Y4I7DD,YD7IDC,LEC,PG,Check out,-,95368,DIGITAL IMAGE PROCESSING,"GONZALEZ, RAFAEL WOODS",RIT,RIT
2024-07-01 19:48:26,6HAAL0,3VMVJ7,CSE,UG,Check out,-,67282,"INTRODUCTION TO AUTOMATA THEORY, LANGUAGES AND COMPUTATION",HOPCROFT J E,RIT,RIT
2024-07-02 09:09:23,YZKCXG,UK4IZR,UNDER GRADUATION(UG),UG,Check out,25.0000,BB1142,SIGNALS AND SYSTEMS,GANESH RAO D,RIT,RIT
2024-07-02 09:09:56,J6Y7RS,UI74AW,UNDER GRADUATION(UG),UG,Check out,-,60282,SIGNALS AND SYSTEMS,GANESH RAO D,RIT,RIT
2024-07-02 09:14:28,WW51IE,U8L3NM,UNDER GRADUATION(UG),ST,Check in,-,79279,THE THEORY OF MACHINES,BEVAN,RIT,RIT
2024-07-02 09:14:43,WW51IE,U8L3NM,UNDER GRADUATION(UG),ST,Check in,-,86617,THEORY OF MACHINES,KHURMI,RIT,RIT
